State,Year,Good Day Ratio
Michigan,2021,0.798306685396003
Minnesota,2021,0.8346507056896323
Mississippi,2021,0.8545237791459618
Missouri,2021,0.8571268337873926
Montana,2021,0.7872444266908485
Nebraska,2021,0.8641605011465107
Nevada,2021,0.722672997667742
New Hampshire,2021,0.9097828862332218
New Jersey,2021,0.82316345811862
New Mexico,2021,0.7850705373687311
New York,2021,0.887188396726014
North Carolina,2021,0.8625049266818696
North Dakota,2021,0.8106841223255092
Ohio,2021,0.809019824155725
Oklahoma,2021,0.7649478828209587
Oregon,2021,0.829859011178485
Pennsylvania,2021,0.7920276728434825
Rhode Island,2021,0.8673503226958497
South Carolina,2021,0.8486537236392332
South Dakota,2021,0.8208833685005936
Tennessee,2021,0.8450227643727253
Texas,2021,0.8054790052349406
Utah,2021,0.698081233200778
Vermont,2021,0.9130136986301369
Virginia,2021,0.914272905257738
Washington,2021,0.8845824577223509
West Virginia,2021,0.8668735842529615
Wisconsin,2021,0.7977902637944294
Wyoming,2021,0.789894001580795
