,State,year,Share,Growth,Good Day Ratio,GREEN RATIO,SCORE,Total_emissions,Number_bill
152,Pennsylvania,2018,0.014,-0.006,0.798,0.478,21.5,112621785.4,5
153,Pennsylvania,2019,0.014,0.016,0.828,0.486,23.5,113913827.2,15
154,Pennsylvania,2020,0.016,-0.07,0.875,0.492,22.0,91911075.3,5
155,Pennsylvania,2021,0.016,0.05,0.792,0.491,18.5,99639276.9,23
156,Rhode Island,2018,0.031,-0.059,0.86,0.499,41.0,3538227.525,3
157,Rhode Island,2019,0.03,-0.033,0.889,0.5,40.5,3218788.973,2
158,Rhode Island,2020,0.031,-0.156,0.899,0.5,39.5,3477248.5,3
159,Rhode Island,2021,0.03,0.031,0.867,0.5,33.0,3621246.8,4
160,South Carolina,2018,0.02,-0.026,0.894,0.476,10.0,38066608.34,4
161,South Carolina,2019,0.02,-0.003,0.881,0.483,10.5,33813814.59,0
162,South Carolina,2020,0.021,-0.1,0.935,0.485,11.0,30114986.8,0
163,South Carolina,2021,0.02,0.051,0.849,0.482,3.0,32893449.0,0
164,South Dakota,2018,0.024,0.018,0.882,0.43,7.5,5801899.954,0
165,South Dakota,2019,0.025,0.026,0.905,0.424,7.0,6354832.394,1
166,South Dakota,2020,0.027,-0.005,0.89,0.447,8.0,4938884.8,1
167,South Dakota,2021,0.027,0.067,0.821,0.456,3.5,5291732.5,7
168,Tennessee,2018,0.024,-0.012,0.85,0.455,14.0,41863766.17,0
169,Tennessee,2019,0.024,0.012,0.851,0.465,14.5,40095952.9,2
170,Tennessee,2020,0.025,-0.084,0.918,0.47,14.5,31634976.4,0
171,Tennessee,2021,0.025,0.026,0.845,0.46,11.0,36491115.2,5
172,Texas,2018,0.017,0.588,0.797,0.479,16.5,389610858.1,8
173,Texas,2019,0.017,0.034,0.802,0.484,15.5,382645074.5,16
174,Texas,2020,0.019,-0.074,0.817,0.485,14.5,342668697.6,7
175,Texas,2021,0.018,0.069,0.805,0.482,10.0,355778997.2,15
176,Utah,2018,0.028,-0.006,0.632,0.422,21.0,36346635.92,0
177,Utah,2019,0.027,0.011,0.765,0.429,19.5,36228913.97,8
178,Utah,2020,0.027,-0.057,0.776,0.434,20.5,31959887.8,13
