,State,Year,Employment,Share,Growth,Good_Day_Ratio,Green_Ratio,Policy_Score,Number_bill,emission_per_capita,Political_Leaning
13,Illinois,2020,0.22969724992293786,0.1951219512195122,0.49006622516556286,0.5309278350515467,0.928,0.5679012345679012,0.4782608695652174,0.0036808833548184518,0.5132743362831859
14,Indiana,2020,0.157802437662976,0.34146341463414637,0.5562913907284768,0.6572164948453607,0.908,0.18518518518518517,0.0,0.11502387910863585,0.24778761061946902
15,Iowa,2020,0.05020494364049886,0.1707317073170732,0.39072847682119194,0.6494845360824741,0.848,0.20987654320987653,0.0,0.3710486437278871,0.3185840707964602
16,Kansas,2020,0.03691484841668541,0.09756097560975613,0.4105960264900662,0.6778350515463916,0.69,0.07407407407407407,0.0,0.11674107639620483,0.21238938053097345
17,Kentucky,2020,0.058946289770313166,0.12195121951219506,0.14569536423841045,0.8067010309278353,0.834,0.2345679012345679,0.043478260869565216,0.14728472375483037,0.18584070796460178
18,Louisiana,2020,0.044873076570609745,0.04878048780487804,0.026490066225165476,0.7036082474226806,0.982,0.09876543209876543,0.21739130434782608,0.31174912187571385,0.23008849557522126
19,Maine,2020,0.014733448301717028,0.1707317073170732,0.5827814569536423,0.8943298969072164,0.994,0.5555555555555556,0.08695652173913043,0.06745453314093294,0.4247787610619469
20,Maryland,2020,0.1520290253513617,0.43902439024390244,0.509933774834437,0.8324742268041239,0.984,0.7530864197530864,0.043478260869565216,0.026367525092924626,0.6017699115044248
21,Massachusetts,2020,0.21673414810926994,0.48780487804878053,0.29801324503311255,0.7809278350515463,1.0,0.9506172839506173,0.13043478260869565,0.0038376036977207434,0.6017699115044248
22,Michigan,2020,0.22620446044004563,0.3658536585365854,0.4039735099337748,0.7087628865979383,0.938,0.6049382716049383,0.43478260869565216,0.0686926842896402,0.4513274336283186
23,Minnesota,2020,0.10513983654495014,0.1707317073170732,0.3377483443708609,0.8427835051546393,0.906,0.691358024691358,0.17391304347826086,0.06390684022839119,0.40707964601769914
24,Mississippi,2020,0.0289545375021869,0.09756097560975613,0.32450331125827814,0.6262886597938144,0.99,0.037037037037037035,0.0,0.2498349437546611,0.26548672566371684
25,Missouri,2020,0.09731073954662468,0.1463414634146341,0.45695364238410596,0.7242268041237114,0.67,0.2345679012345679,0.13043478260869565,0.06804239602455842,0.21238938053097345
26,Montana,2020,0.009605691768097108,0.1707317073170732,0.45033112582781454,0.6984536082474229,0.348,0.25925925925925924,0.08695652173913043,0.14099545607679284,0.23893805309734514
27,Nebraska,2020,0.0270717219431323,0.1463414634146341,0.49006622516556286,0.811855670103093,0.478,0.16049382716049382,0.0,0.235194858687441,0.17699115044247787
28,Nevada,2020,0.05486616180550349,0.2926829268292684,0.5231788079470198,0.4716494845360826,0.994,0.41975308641975306,0.0,0.12378150220518178,0.3893805309734513
29,New Hampshire,2020,0.02181691701448768,0.26829268292682934,0.5364238410596026,0.8969072164948453,0.996,0.5061728395061729,0.17391304347826086,0.20520734523919235,0.3893805309734513
30,New Jersey,2020,0.0942407504602901,0.0,0.2185430463576158,0.6932989690721647,0.998,0.5185185185185185,0.21739130434782608,0.002043445791470349,0.49557522123893805
31,New Mexico,2020,0.013054743278931627,0.024390243902439046,0.36423841059602635,0.5644329896907214,0.93,0.35802469135802467,0.34782608695652173,0.10134554953651917,0.4690265486725664
32,New York,2020,0.3089983587846675,0.12195121951219506,0.7814569536423841,0.8195876288659796,0.998,0.8024691358024691,0.3913043478260869,0.014548716196532124,0.5929203539823009
33,North Carolina,2020,0.19749152316446308,0.24390243902439018,0.26490066225165554,0.8608247422680408,0.972,0.30864197530864196,0.0,0.016937641176319632,0.36283185840707965
34,North Dakota,2020,0.007102213557938235,0.1951219512195122,0.35761589403973504,0.9252577319587627,0.406,0.037037037037037035,0.0,0.4625714378433481,0.09734513274336282
35,Ohio,2020,0.20533728224738196,0.1707317073170732,0.39735099337748336,0.6958762886597936,0.946,0.18518518518518517,0.043478260869565216,0.0915646526070747,0.34513274336283184
36,Oklahoma,2020,0.031832912615697345,0.0,0.26490066225165554,0.6262886597938144,0.988,0.18518518518518517,0.0,0.12223266615328678,0.10619469026548672
37,Oregon,2020,0.09851874067964643,0.3658536585365854,0.509933774834437,0.5360824742268044,0.992,0.691358024691358,0.30434782608695654,0.0314105780496988,0.46017699115044247
38,Pennsylvania,2020,0.17175485074937724,0.07317073170731708,0.5695364238410595,0.6984536082474229,0.984,0.4444444444444444,0.21739130434782608,0.07901298703942929,0.3893805309734513
39,Rhode Island,2020,0.01879899694250748,0.43902439024390244,0.0,0.7603092783505154,1.0,0.8765432098765431,0.13043478260869565,0.035364958690904724,0.6106194690265487
40,South Carolina,2020,0.07714545166745812,0.1951219512195122,0.3708609271523178,0.8530927835051547,0.97,0.1728395061728395,0.0,0.06354113885632284,0.25663716814159293
41,South Dakota,2020,0.013658743845442503,0.34146341463414637,1.0,0.7371134020618557,0.894,0.09876543209876543,0.043478260869565216,0.060497736898308424,0.1504424778761062
42,Tennessee,2020,0.1418443261436438,0.2926829268292684,0.47682119205298,0.8092783505154642,0.94,0.25925925925925924,0.0,0.04997131462241659,0.1504424778761062
43,Texas,2020,0.45520398557063474,0.1463414634146341,0.5430463576158939,0.5489690721649483,0.97,0.25925925925925924,0.30434782608695654,0.12734986573897983,0.24778761061946902
44,Utah,2020,0.0763664992127165,0.34146341463414637,0.6556291390728476,0.44329896907216493,0.868,0.40740740740740744,0.5652173913043478,0.10547395705045559,0.13274336283185845
45,Vermont,2020,0.021639882365682768,1.0,0.47682119205298,0.8711340206185567,0.776,0.8888888888888888,0.08695652173913043,0.6483897839687733,0.6106194690265487
46,Virginia,2020,0.17395632867628066,0.26829268292682934,0.42384105960264895,0.9484536082474224,0.994,0.345679012345679,0.17391304347826086,0.0,0.46017699115044247
47,Washington,2020,0.1475344280322911,0.24390243902439018,0.30463576158940386,0.731958762886598,0.966,0.654320987654321,0.17391304347826086,0.03006580593671239,0.5309734513274336
48,West Virginia,2020,0.008639290861679706,0.024390243902439046,0.32450331125827814,0.8685567010309279,0.534,0.037037037037037035,0.08695652173913043,0.24386005154080523,0.10619469026548672
49,Wisconsin,2020,0.13432764323144467,0.2926829268292684,0.39735099337748336,0.6829896907216493,0.922,0.32098765432098764,0.17391304347826086,0.10464063705824325,0.37168141592920356
50,Wyoming,2020,0.0066523372739163405,0.43902439024390244,0.5165562913907285,0.670103092783505,0.332,0.0,0.2608695652173913,1.0,0.0
0,Alabama,2021,0.07394461252967043,0.20512820512820523,0.5800000000000001,0.6494845360824741,0.964,0.06666666666666668,0.03333333333333333,0.02827071301247872,0.1673374927100033
1,Alaska,2021,0.0,0.10256410256410264,0.20000000000000007,0.8170103092783507,0.922,0.1,0.11666666666666667,1.0,0.277933236671174
2,Arizona,2021,0.10873725446281272,0.15384615384615385,0.56,0.10309278350515472,0.976,0.24444444444444446,0.45,0.053476613411598664,0.3447172021949557
3,Arkansas,2021,0.029913393337426035,0.07692307692307698,0.8400000000000001,0.5747422680412368,0.922,0.12222222222222223,0.016666666666666666,0.13741627966193654,0.16161916801883686
4,California,2021,1.0,0.4102564102564103,0.3600000000000001,0.0,1.0,1.0,1.0,0.022866292722447078,0.6168593991204381
5,Colorado,2021,0.11232870137998748,0.23076923076923078,0.5800000000000001,0.36855670103092786,0.898,0.6333333333333334,0.15,0.07098664912904008,0.4395376289701691
6,Connecticut,2021,0.07289277451272504,0.30769230769230776,0.54,0.5876288659793811,0.998,0.6777777777777778,0.03333333333333333,0.031925232898150024,0.50613082074582
7,Delaware,2021,0.014521763648398146,0.358974358974359,0.1200000000000001,0.5463917525773194,0.992,0.43333333333333335,0.03333333333333333,0.00221094622383707,0.5224691075642559
8,District of Col.,2021,0.018473155134109347,0.15384615384615385,0.52,0.21649484536082464,1.0,0.7333333333333334,0.03333333333333333,0.08868580703320407,1.0
9,Florida,2021,0.3068747412898414,0.10256410256410264,0.72,0.7525773195876289,0.992,0.17777777777777778,0.3333333333333333,0.048708391973496384,0.35239240574714953
10,Georgia,2021,0.14038838018945082,0.07692307692307698,0.7000000000000002,0.554123711340206,0.976,0.1,0.11666666666666667,0.04912104794681597,0.32228440674079073
11,Hawaii,2021,0.01573157733709009,0.20512820512820523,0.06000000000000005,1.0,0.0,0.46666666666666673,0.0,0.048776358866151885,0.7036587078624348
12,Idaho,2021,0.016803412274509724,0.10256410256410264,0.9000000000000001,0.4510309278350517,1.0,0.16666666666666666,0.0,0.24648574162379855,0.10846485677651674
13,Illinois,2021,0.23150234863830968,0.20512820512820523,0.52,0.3711340206185567,0.87,0.5000000000000001,0.3833333333333333,0.00372475029879241,0.5237062713198477
14,Indiana,2021,0.1623929914793122,0.38461538461538464,0.9200000000000002,0.5231958762886597,0.884,0.15555555555555556,0.03333333333333333,0.12357050073169151,0.2491896170809052
